Comment,Designator,Footprint,LCSC
AO3401A,Q1,SOT95P280X125-3N,C15127
100nF,"C3,C4,C5,C6",CAPC1005X55N,C1525
C10uF,"C1,C2",CAPC2012X145N,C15850
TP4056,J2,SOIC127P600X175-9N,C16581
1k,"R1k2,R1k3,R1k4",RESC2013X65N,C17513
R0805 1M,"R1,R2",RESC2013X65N2,C17514
DRV8837DSGT,"IC1,IC2",SON50P200X200X80-9N,C191000
KT-0603R,LED2,LEDC1608X70N,C2286
KT-0605G,LED1,LEDC1608X70N,C2290
1.5k,R1k1,RESC2013X65N,C4310
MS-22D28-G020,S1,MS22D28G020,C963205
